plant_no,plant_description,short_description,charge_type,clock_unit,has_clock,ticket_1_required,ticket_2_required,category_1,category_2,category_3,category_4,category_5,category_6,is_active
432,432 - Traffic Lights Millenium V2 (2024),Traffic Lights Millenium V2 (2024),Hour,,,,,,,,,,,TRUE
433,433 - Traffic Lights Millenium V2 (2024),Traffic Lights Millenium V2 (2024),Hour,,,,,,,,,,,TRUE
434,434 - Van Caddy (191-D-10473),Van Caddy (191-D-10473),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
435,435 - Teleporter JCB 542-70 (192-KE-2338),Teleporter JCB 542-70 (192-KE-2338),Hour,Hours,TRUE,Telescopic Handler,,TRUE,,,,,,TRUE
436,436 - Van Caddy (211-G-3342),Van Caddy (211-G-3342),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
437,437 - Van Toyota Auris (191-D-14346),Van Toyota Auris (191-D-14346),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
438,"438 - Bunded Diesel Tank 2,250 Litre (2024)","Bunded Diesel Tank 2,250 Litre (2024)",Hour,,,,,,,,,,,TRUE
439,439 - Anti-Vandal Office Unit (32' x 9'),Anti-Vandal Office Unit (32' x 9'),Day,,,,,,,,,,,TRUE
440,440 - Audi A3 (131-CW-1277),Audi A3 (131-CW-1277),Hour,,,,,,,,,,,TRUE
441,441 - Geobrace 550 Frames (16 No.),Geobrace 550 Frames (16 No.),Day,,,,,,,,,,,TRUE
442,442 - Anti Vandal Toilet Unit (20' x 10'),Anti Vandal Toilet Unit (20' x 10'),Day,,,,,,,,,,,TRUE
443,443 - Anti-Vandal Toilet Unit (Single),Anti-Vandal Toilet Unit (Single),Day,,,,,,,,,,,TRUE
444,444 - Excavator Case CX245D (2024),Excavator Case CX245D (2024),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
445,445 - Van Caddy (191-D-4180),Van Caddy (191-D-4180),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
446,446 - Van Caddy (201-D-27237),Van Caddy (201-D-27237),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
447,447 - Truck Scania P410 Tipper (212-KE-2550),Truck Scania P410 Tipper (212-KE-2550),Hour,,TRUE,Driver CPC,,TRUE,,,,,,TRUE
448,448 - Anti-Vandal Toilet Unit (Single),Anti-Vandal Toilet Unit (Single),Day,,,,,,,,,,,TRUE
449,449 - Van Caddy (191-D-30701),Van Caddy (191-D-30701),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
450,450 - Storage Container (20' x 8'),Storage Container (20' x 8'),Day,,,,,,,,,,,TRUE
451,451 - Generator AJ Power 33kVA (2024),Generator AJ Power 33kVA (2024),Hour,Hours,TRUE,,,,,,,,,TRUE
452,452 - Van Caddy (202-D-6483),Van Caddy (202-D-6483),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
453,453 - Van Sprinter CDI 316 (202-KE-2407),Van Sprinter CDI 316 (202-KE-2407),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
